,OpenTime,Side,Pair,Amount,Status,OpenPrice,ClosePrice,SL,TP,PnL
325,02/21 16:43:36,LONG,MANAUSDT,499.9999999999996,Close,0.4724,0.4744,0.4694,0.4744,0.7628000000000001
326,02/21 17:15:22,LONG,SSVUSDT,3.4482758620689755,Close,31.55,31.115,31.115,31.84,-1.6072931034482885
327,02/21 17:15:32,LONG,MANAUSDT,476.1904761904783,Close,0.4726,0.46945,0.46945,0.4747,-1.7235476190476464
328,02/21 17:16:19,LONG,UNIUSDT,25.64102564102525,Close,7.225,7.166499999999999,7.166499999999999,7.264,-1.6837564102563958
329,02/21 17:18:43,LONG,MKRUSDT,0.0574712643678157,Close,2017.5,2034.9,1991.4,2034.9,0.8830517241379303
330,02/21 17:22:40,LONG,XLMUSDT,1818.181818181789,Close,0.11273,0.1119049999999999,0.1119049999999999,0.11328,-1.7034636363637967
331,02/21 17:48:03,LONG,ARPAUSDT,1298.7012987013106,Close,0.06424,0.06501,0.063085,0.06501,0.9155714285714278
332,02/21 18:33:50,LONG,PIXELUSDT,384.6153846153941,Close,0.5006,0.4967000000000001,0.4967000000000001,0.5032,-1.6910384615384872
333,02/21 19:22:57,LONG,BEAMXUSDT,5347.59358288771,Close,0.030737,0.030924,0.0304565,0.030924,0.8346310160427804
334,02/21 19:48:16,LONG,ACHUSDT,11627.906976744283,Close,0.023083,0.023169,0.022954,0.023169,0.7305930232558115
335,02/21 20:16:50,LONG,IOTXUSDT,3846.1538461537975,Close,0.05497,0.05523,0.0545799999999999,0.05523,0.7875769230769257
336,02/21 20:17:25,LONG,INJUSDT,6.896551724138121,Close,34.06,34.205,33.84250000000001,34.205,0.7641034482758555
337,02/21 20:17:32,LONG,CFXUSDT,833.3333333333287,Close,0.2286,0.2298,0.2268,0.2298,0.8085000000000011
338,02/21 20:17:45,LONG,TRBUSDT,2.8328611898016303,Close,116.517,115.98749999999998,115.98749999999998,116.87,-1.8285764872521164
339,02/21 20:20:56,LONG,OXTUSDT,1754.3859649122774,Close,0.11684,0.11741,0.115985,0.11741,0.7940175438596495
340,02/21 20:24:10,LONG,MANAUSDT,499.9999999999996,Close,0.4709,0.4729,0.4679,0.4729,0.7635500000000002
341,02/21 20:24:21,LONG,ATOMUSDT,33.333333333334046,Close,9.839,9.869,9.794,9.869,0.6710333333333263
342,02/21 22:18:56,LONG,HBARUSDT,970.873786407764,Close,0.10182,0.10285,0.1002749999999999,0.10285,0.9001456310679614
343,02/21 22:19:42,LONG,PENDLEUSDT,28.90173410404645,Close,2.4624,2.497,2.4105000000000008,2.497,0.9278323699421958
344,02/22 00:15:44,SHORT,NKNUSDT,301.2048192771069,Close,0.14777,0.14445,0.15275,0.14445,0.956490963855422
345,02/22 01:17:57,SHORT,ALTUSDT,167.22408026755895,Close,0.52348,0.5175,0.5324499999999999,0.5175,0.9134615384615382
